price,numBedrooms,numBathrooms,propertySize,total_images,longitude,latitude,ber_rating,featuredLevel,propertyType,sellerType
320000,4,3,125.0,12.0,-8.200281,52.889324,C3,featured,Semi-D,UNBRANDED_AGENT
375000,4,4,203.0,39.0,-7.179617,53.156531,C2,featured,Terrace,BRANDED_AGENT
575000,5,3,250.0,18.0,-7.501042,53.280301,D2,featured,Detached,BRANDED_AGENT
300000,3,3,150.0,43.0,-9.653025,52.205776,B3,featured,Detached,BRANDED_AGENT
340000,3,1,104.0,12.0,-6.3239271,53.2873243,E2,featured,Semi-D,BRANDED_AGENT
1695000,5,2,198.0,11.0,-6.2437969,53.3767169,D2,featured,Bungalow,BRANDED_AGENT
1600000,5,3,205.0,22.0,-8.969998,52.857836,C1,featured,Detached,BRANDED_AGENT
200000,3,3,152.0,22.0,-8.421536,51.888258,E2,featured,End of Terrace,BRANDED_AGENT
420000,4,4,160.0,16.0,-8.208252,51.859192,C3,featured,End of Terrace,BRANDED_AGENT
250000,2,1,66.0,22.0,-9.075766,53.263136,XXX,featured,Apartment,BRANDED_AGENT
245000,2,1,62.0,25.0,-6.15183,53.489427,C2,featured,Terrace,BRANDED_AGENT
215000,2,2,65.0,21.0,-6.3590311,53.3799977,D1,featured,Apartment,BRANDED_AGENT
285000,3,1,81.0,20.0,-6.2374592,53.4734568,XXX,featured,Detached,BRANDED_AGENT
410000,3,1,59.0,8.0,-8.503046,53.7705068,F,featured,Bungalow,UNBRANDED_AGENT
215000,2,2,60.0,31.0,-8.490317,51.900564,D1,featured,Apartment,BRANDED_AGENT
250000,3,2,96.0,20.0,-8.660593,52.664526,D2,featured,End of Terrace,BRANDED_AGENT
379950,5,5,332.0,34.0,-9.512915,52.053831,C1,featured,Detached,BRANDED_AGENT
190000,3,2,109.0,18.0,-8.495566,54.181359,C1,featured,Terrace,BRANDED_AGENT
340000,4,3,146.0,16.0,-6.266361,53.356186,E1,featured,Detached,BRANDED_AGENT
325000,5,3,244.0,26.0,-6.14007,53.448731,F,featured,Detached,BRANDED_AGENT
560000,3,1,98.0,20.0,-6.665098,53.394309,A3,featured,Semi-D,BRANDED_AGENT
299950,1,2,78.0,21.0,-8.582402,53.851684,D1,featured,Apartment,UNBRANDED_AGENT
380000,5,3,169.0,39.0,-7.801423,53.748247,C2,featured,Detached,BRANDED_AGENT
440000,4,2,152.0,23.0,-6.2334589,53.4460063,XXX,featured,Semi-D,BRANDED_AGENT
675000,4,3,261.0,2.0,-6.084506826874161,53.12737070936103,A2,featured,Detached,BRANDED_AGENT
650000,5,2,155.0,9.0,-6.227785906271578,53.31168479854682,A3,featured,Semi-D,BRANDED_AGENT
545000,4,3,130.0,8.0,-6.227785906271578,53.31168479854682,A3,featured,Detached,BRANDED_AGENT
90000,5,2,116.0,10.0,-8.463226,51.890127,E1,featured,Semi-D,BRANDED_AGENT
295000,4,1,122.0,25.0,-8.971786,52.849019,D1,featured,Semi-D,BRANDED_AGENT
750000,5,6,232.0,36.0,-6.178084,53.445388,C1,featured,Detached,BRANDED_AGENT
195000,4,3,109.0,4.0,-8.230189727673917,51.822110570229455,A2,featured,Semi-D,UNBRANDED_AGENT
295000,2,2,48.0,6.0,-8.230189727673917,51.822110570229455,A2,featured,Apartment,UNBRANDED_AGENT
800000,4,1,121.0,6.0,-8.230189727673917,51.822110570229455,A2,featured,Detached,UNBRANDED_AGENT
175000,1,1,56.0,6.0,-8.230189727673917,51.822110570229455,A2,featured,Terrace,UNBRANDED_AGENT
